sku,Size ,Color,weight,Paper,Coating,Turnaround,2000,pdfproof,3000,4000,5000,10000,15000,20000,1000,500,2500,7500
bookmarks_cc0086a5312ade271c932bef9dfc2d88, 1.5x7,  4:0-Full color on front side,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,69,Do not send DF proof,72,80,105,208,320,420,53,37,79,168
bookmarks_b00bcf3d87c808e283a82e9f9c4114cf, 1.5x7,  4:0-Full color on front side,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,74,Send me PDF proof,77,85,110,213,325,425,58,42,84,173
bookmarks_b12266f5f707176450cf1a0ae5d19113, 1.5x7,  4:1-Full color on front & B/W back,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_a7d20abef96af6fab6c7d943543f022a, 1.5x7,  4:1-Full color on front & B/W back,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_aef2caf4c2fd7c8177dbc1774e27c6af, 1.5x7,  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_e5fc02a18230c6cfeab828e7ccba10da, 1.5x7,  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_f91f16b0fdf0a2749fb89ecb69bcb4c7, 1.5x7,  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,69,Do not send DF proof,72,80,105,208,320,420,53,37,79,168
bookmarks_d5a716cd2c58c309b6db5b7f93a68b54, 1.5x7,  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,74,Send me PDF proof,77,85,110,213,325,425,58,42,84,173
bookmarks_bf610b539938bbcb16375716d31f8aec, 1.5x7,  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_24c9f944e4b4d7ecdbe210e66c90ce6b, 1.5x7,  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_97be46f533b2cab1beef042f9ba70d0e, 1.5x7,  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_a8c886c2718b0618e677c6b624603857, 1.5x7,  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_0ca3521f53c831bbd7edfec5b019193f, 2x8,  4:0-Full color on front side,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,69,Do not send DF proof,72,80,105,208,320,420,53,37,79,168
bookmarks_64d10111263ff0a9f37802be662f3286, 2x8,  4:0-Full color on front side,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,74,Send me PDF proof,77,85,110,213,325,425,58,42,84,173
bookmarks_f7f13a0a29a419989257afea097f8e38, 2x8,  4:1-Full color on front & B/W back,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_7263c49df18272cf9d418d7ed6fdf7b2, 2x8,  4:1-Full color on front & B/W back,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_e141140fe8c06a3fdc6eab0492039cdb, 2x8,  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_d3b1127d9e21234b1ada1aa1e0da2f72, 2x8,  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_8bd65497e7f3295a2b6167804b0e77f7, 2x8,  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,69,Do not send DF proof,72,80,105,208,320,420,53,37,79,168
bookmarks_08a3531229198ef5aae79b7baa166c8a, 2x8,  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,74,Send me PDF proof,77,85,110,213,325,425,58,42,84,173
bookmarks_8d03e12b9c5039761f23a3c04e94e9cf, 2x8,  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_d32bfcc4f5cf9bb7b5783fa3868b894e, 2x8,  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_5c79f7a1e60cbe67e7be8bce7fd30a26, 2x8,  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,70,Do not send DF proof,80,88,110,220,342,437,54,44,80,170
bookmarks_24dac1ef4f38610d4c4f8d5401a2c735, 2x8,  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,75,Send me PDF proof,85,93,115,225,347,442,59,49,85,175
bookmarks_7c41bde1a30b7e0156c844afa40d1d65," 8.5""x3.5",  4:0-Full color on front side,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,110,Do not send DF proof,142,152,160,328,490,659,68,66,126,248
bookmarks_e622299da14432fe02a4f6aeec8a97ab," 8.5""x3.5",  4:0-Full color on front side,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,115,Send me PDF proof,147,157,165,333,495,664,73,71,131,253
bookmarks_06320b5fce0e8171270400cb468c4371," 8.5""x3.5",  4:1-Full color on front & B/W back,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
bookmarks_9c0bcc16d13446a32a309c52f8cffd61," 8.5""x3.5",  4:1-Full color on front & B/W back,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
bookmarks_ab3af6b866056e4e79002a738f12b355," 8.5""x3.5",  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
bookmarks_96e486e3971100d8e67d854006e10e36," 8.5""x3.5",  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
bookmarks_32763f7bc7356d523ce4bb4ecec5dfa9," 8.5""x3.5",  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,110,Do not send DF proof,142,152,160,328,490,659,68,66,126,248
bookmarks_6c6109021b9c5fbd062c9091d8fc0218," 8.5""x3.5",  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,115,Send me PDF proof,147,157,165,333,495,664,73,71,131,253
bookmarks_927be5553477edcf4959ea094de2a5b2," 8.5""x3.5",  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
bookmarks_99a8dd70df7cf82d47a61dd3d37bc28c," 8.5""x3.5",  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
bookmarks_f4fd8d19a5e30fdd7bb665cde011a55b," 8.5""x3.5",  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
bookmarks_b2d3c000fbb5990cc7527a483da07090," 8.5""x3.5",  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
