sku,Size ,Page,weight,Paper,Turnaround,50,150,200,250,300,100
shortrunblackwhitebooks_40e88e281235a8e8fe8e3de18dc01cac,8.5x11,4 Pages,null,100# Gloss Book,2-3 Days,6,18,24,30,36,12
shortrunblackwhitebooks_5701bd3d0f43c5451fb9a2a13bc2fe47,8.5x11,8 Pages,null,100# Gloss Book,2-3 Days,12,36,48,60,72,24
shortrunblackwhitebooks_4ec2202740d9c8c4feb134c7c4dada30,8.5x11,12 Pages,null,100# Gloss Book,2-3 Day,18,54,72,90,108,36
shortrunblackwhitebooks_99964bd49cacf0e2a64945f408b58129,8.5x11,16 Pages,null,100# Gloss Book,2-3 Day,24,72,96,120,144,48
shortrunblackwhitebooks_465d2f7e9fd261e9105bdf8f647c1699,8.5x11,20 Pages,null,100# Gloss Book,2-3 Day,30,90,120,150,180,60
shortrunblackwhitebooks_fe4d21424f917a0013f20195fc755ece,8.5x11,24 Pages,null,100# Gloss Book,2-3 Day,36,108,144,180,216,72
shortrunblackwhitebooks_3368334f637092b43c6480b4e1dd0fb6,8.5x11,28 Pages,null,100# Gloss Book,2-3 Day,42,126,168,210,252,84
shortrunblackwhitebooks_2b49c16b621e42973bc783e21304b61a,8.5x11,32 Pages,null,100# Gloss Book,2-3 Day,48,144,192,240,288,96
shortrunblackwhitebooks_9d01bd1460e8b9a146092bd3b217c638,8.5x11,36 Pages,null,100# Gloss Book,2-3 Day,54,162,216,270,324,108
shortrunblackwhitebooks_f4e7da8bbabf3fb5d3e59293ef84c5e5,8.5x11,40 Pages,null,100# Gloss Book,2-3 Day,60,180,240,300,360,120
shortrunblackwhitebooks_004e45ae862e094b0a1723862270cec9,8.5x11,44 Pages,null,100# Gloss Book,2-3 Day,66,198,264,330,396,132
shortrunblackwhitebooks_3350fc97414764e9bdb95594d21ad54e,8.5x11,48 Pages,null,100# Gloss Book,2-3 Day,72,216,288,360,432,144
shortrunblackwhitebooks_914af97845910b6a1dd774752aee0243,8.5x11,52 Pages,null,100# Gloss Book,2-3 Day,78,234,312,390,468,156
shortrunblackwhitebooks_d7952bafb90eb3e3d148384408e84136,8.5x11,56 Pages,null,100# Gloss Book,2-3 Day,84,252,336,420,504,168
shortrunblackwhitebooks_327a7ac5becebc178d046adf8b124f0a,8.5x11,60 Pages,null,100# Gloss Book,2-3 Day,90,270,360,450,540,180
shortrunblackwhitebooks_8f0f18d5ae6ca9b63f86e7936c334125,8.5x11,64 Pages,null,100# Gloss Book,2-3 Day,96,288,384,480,576,192
shortrunblackwhitebooks_585e77992dacdba6af92bfc4a2a8235c,8.5x11,68 Pages,null,100# Gloss Book,2-3 Day,102,306,408,510,612,204
shortrunblackwhitebooks_ddf248d093a55ca69a24dedb42cfb0b5,8.5x11,72 Pages,null,100# Gloss Book,2-3 Day,108,324,432,540,648,216
shortrunblackwhitebooks_d3f5f66739c7a8b327037470e5ba5548,8.5x11,76 Pages,null,100# Gloss Book,2-3 Day,114,342,456,570,684,228
shortrunblackwhitebooks_bd6077e977534e21e4e43ac4d2bc973f,8.5x11,80 Pages,null,100# Gloss Book,2-3 Day,120,360,480,600,720,240
shortrunblackwhitebooks_d17209a7c4f5df4a7586d15df0a273a1,8.5x11,4 Pages,null,70# Offset Uncoated Text,2-3 Days,6,18,24,30,36,12
shortrunblackwhitebooks_3b72d23be6b2d9c2bbe13b50561d02fb,8.5x11,8 Pages,null,70# Offset Uncoated Text,2-3 Days,12,36,48,60,72,24
shortrunblackwhitebooks_bf0fa7f6f1fe1aefdb11c6a124d2b3b9,8.5x11,12 Pages,null,70# Offset Uncoated Text,2-3 Day,18,54,72,90,108,36
shortrunblackwhitebooks_f580df14e05a4f437922957b4d8e015d,8.5x11,16 Pages,null,70# Offset Uncoated Text,2-3 Day,24,72,96,120,144,48
shortrunblackwhitebooks_24bc042dbb960cfe3fa60581f9ec71d8,8.5x11,20 Pages,null,70# Offset Uncoated Text,2-3 Day,30,90,120,150,180,60
shortrunblackwhitebooks_e74b2587eee25c25877949ca28eef264,8.5x11,24 Pages,null,70# Offset Uncoated Text,2-3 Day,36,108,144,180,216,72
shortrunblackwhitebooks_9ae5a44008a62c57c1292e159414ca5c,8.5x11,28 Pages,null,70# Offset Uncoated Text,2-3 Day,42,126,168,210,252,84
shortrunblackwhitebooks_e89d818066ffe138186b4299a77d97c7,8.5x11,32 Pages,null,70# Offset Uncoated Text,2-3 Day,48,144,192,240,288,96
shortrunblackwhitebooks_56f93f5006573ed57683cc9e298680b1,8.5x11,36 Pages,null,70# Offset Uncoated Text,2-3 Day,54,162,216,270,324,108
shortrunblackwhitebooks_e69504d4a4ce005925727440c3e1d642,8.5x11,40 Pages,null,70# Offset Uncoated Text,2-3 Day,60,180,240,300,360,120
shortrunblackwhitebooks_35d4592470865a660e016ba8ab50c04f,8.5x11,44 Pages,null,70# Offset Uncoated Text,2-3 Day,66,198,264,330,396,132
shortrunblackwhitebooks_e48f41e61515d98aa5048fcc77bfe4d0,8.5x11,48 Pages,null,70# Offset Uncoated Text,2-3 Day,72,216,288,360,432,144
shortrunblackwhitebooks_253729fd0ade05aefc7dcc94a7bdb9d2,8.5x11,52 Pages,null,70# Offset Uncoated Text,2-3 Day,78,234,312,390,468,156
shortrunblackwhitebooks_5d718778edc6b9906ce752b8b71241ab,8.5x11,56 Pages,null,70# Offset Uncoated Text,2-3 Day,84,252,336,420,504,168
shortrunblackwhitebooks_7b7bdb6055c4936b1555325d79ff6eac,8.5x11,60 Pages,null,70# Offset Uncoated Text,2-3 Day,90,270,360,450,540,180
