sku,Size ,Color,Page,weight,Paper,Turnaround,50,150,200,250,300,100
shortrunfullcolorbooklets_83fefcc109ff4570783d996bf0bfd70a,5.5x8.5,Full color 2 sides,4,null,100# Gloss Text,2-3 Days,15,45,60,75,90,30
shortrunfullcolorbooklets_4d364d47355986ee558b6a74252c35b3,5.5x8.5,Full color 2 sides,8,null,100# Gloss Text,2-3 Days,30,90,120,150,180,60
shortrunfullcolorbooklets_c1746f60ebffe924aea41f07ebc4726b,5.5x8.5,Full color 2 sides,12,null,100# Gloss Text,2-3 Days,45,135,180,225,270,90
shortrunfullcolorbooklets_bb9518c9b0e65919d1a45ce0fb8e62ed,5.5x8.5,Full color 2 sides,16,null,100# Gloss Text,2-3 Days,60,180,240,300,360,120
shortrunfullcolorbooklets_48712d9e68e8ba3d2d7d0594daa069d1,5.5x8.5,Full color 2 sides,20,null,100# Gloss Text,2-3 Days,75,225,300,375,450,150
shortrunfullcolorbooklets_3af2375ede9a587f4ce4410dd922d7f0,5.5x8.5,Full color 2 sides,24,null,100# Gloss Text,2-3 Days,90,270,360,450,540,180
shortrunfullcolorbooklets_24fc8fab723264c8d1cdffc392851b28,5.5x8.5,Full color 2 sides,28,null,100# Gloss Text,2-3 Days,105,315,420,525,630,210
shortrunfullcolorbooklets_7be1927701b49b756625f0afee69c6a8,5.5x8.5,Full color 2 sides,32,null,100# Gloss Text,2-3 Days,120,360,480,600,720,240
shortrunfullcolorbooklets_584c284f8188ebfd4fe3f8ce41f73d9a,5.5x8.5,Full color 2 sides,36,null,100# Gloss Text,2-3 Days,135,405,540,675,810,270
shortrunfullcolorbooklets_635e49c320ee5e1b7238a079606bcc6d,5.5x8.5,Full color 2 sides,40,null,100# Gloss Text,2-3 Days,150,450,600,750,900,300
shortrunfullcolorbooklets_9009b7daddee5ff92be30e1783c7db5d,5.5x8.5,Full color 2 sides,44,null,100# Gloss Text,2-3 Days,165,495,660,825,990,330
shortrunfullcolorbooklets_0ed9e8cb0bdce6ee88dd5090ec5e1389,5.5x8.5,Full color 2 sides,48,null,100# Gloss Text,2-3 Days,180,540,720,900,1080,360
shortrunfullcolorbooklets_7d42a18338f0a8ca7161c4a10a5fe9ec,5.5x8.5,Full color 2 sides,52,null,100# Gloss Text,2-3 Days,195,585,780,975,1170,390
shortrunfullcolorbooklets_a04d80edffa37e9587ace8f30ce0fabd,5.5x8.5,Full color 2 sides,56,null,100# Gloss Text,2-3 Days,210,630,840,1050,1260,420
shortrunfullcolorbooklets_d6dfdef6b8c5c04e567fdf99d1a144a6,5.5x8.5,Full color 2 sides,60,null,100# Gloss Text,2-3 Days,225,675,900,1125,1350,450
shortrunfullcolorbooklets_4042f89bb49397e270d5fc2e6996bff0,5.5x8.5,Full color 2 sides,64,null,100# Gloss Text,2-3 Days,240,720,960,1200,1440,480
shortrunfullcolorbooklets_cb480eaea77d19cc956e894881d222b8,5.5x8.5,Full color 2 sides,68,null,100# Gloss Text,2-3 Days,255,765,1020,1275,1530,510
shortrunfullcolorbooklets_e8567b685a1aff2bd9b23d9a081e09f9,5.5x8.5,Full color 2 sides,72,null,100# Gloss Text,2-3 Days,270,810,1080,1350,1620,540
shortrunfullcolorbooklets_514be95bb07eda8559ed39efae67c7e8,5.5x8.5,Full color 2 sides,76,null,100# Gloss Text,2-3 Days,285,855,1140,1425,1710,570
shortrunfullcolorbooklets_e38d42ff2ce608ed3791206ae258852c,5.5x8.5,Full color 2 sides,80,null,100# Gloss Text,2-3 Days,300,900,1200,1500,1800,600
shortrunfullcolorbooklets_fd3696c0abef5d9db603199ee07abb35,4.25x8.5,Full color 2 sides,4,null,100# Gloss Text,2-3 Days,15,45,60,75,90,30
shortrunfullcolorbooklets_4a8ab18a6bfe8d0961f690f9e1c18648,4.25x8.5,Full color 2 sides,8,null,100# Gloss Text,2-3 Days,30,90,120,150,180,60
shortrunfullcolorbooklets_88b3c4fd2e5c58cc0d39976e63433301,4.25x8.5,Full color 2 sides,12,null,100# Gloss Text,2-3 Days,45,135,180,225,270,90
shortrunfullcolorbooklets_bc319174e814dbce4e21a41115732cdb,4.25x8.5,Full color 2 sides,16,null,100# Gloss Text,2-3 Days,60,180,240,300,360,120
shortrunfullcolorbooklets_9476a89f003a403d4b774930acdc3712,4.25x8.5,Full color 2 sides,20,null,100# Gloss Text,2-3 Days,75,225,300,375,450,150
shortrunfullcolorbooklets_e9e93620095d4fc25e9349724fe12104,4.25x8.5,Full color 2 sides,24,null,100# Gloss Text,2-3 Days,90,270,360,450,540,180
shortrunfullcolorbooklets_f835fb22051deb667a9d36d82086e5c3,4.25x8.5,Full color 2 sides,28,null,100# Gloss Text,2-3 Days,105,315,420,525,630,210
shortrunfullcolorbooklets_2001e93ceaa2adabc83f2e3224ba6c49,4.25x8.5,Full color 2 sides,32,null,100# Gloss Text,2-3 Days,120,360,480,600,720,240
shortrunfullcolorbooklets_f60c87a56ffe9912674e10b88d377f7c,4.25x8.5,Full color 2 sides,36,null,100# Gloss Text,2-3 Days,135,405,540,675,810,270
