sku,Size ,Color,Page,weight,Paper,Turnaround,50,150,200,250,300,100
shortrunstickers_1b106c5cda4702d33bb2c2304e990984, 8.5x11, Full color 1 sided,null,null, Matte Stickers, 2-3 Days,62.5,187.5,250,312.5,375,125
shortrunstickers_d7470a48fb3b4232bec7a41079e50d1e, 8.5x11, Full color 1 sided,null,null, Gloss Stickers, 2-3 Days,62.5,187.5,250,312.5,375,125
shortrunstickers_bf2318eff392c48d875cc602727a453a, 5.5x8.5, Full color 1 sided,null,null, Matte Stickers, 2-3 Days,39.5,118.5,158,197.5,237,79
shortrunstickers_4e6637a4c4a2dcdbfae2c17dccd546c1, 5.5x8.5, Full color 1 sided,null,null, Gloss Stickers, 2-3 Days,39.5,118.5,158,197.5,237,79
shortrunstickers_a1ab60bfe3db231093030781732a85b1, 3x5, Full color 1 sided,null,null, Matte Stickers, 2-3 Days,39.5,118.5,158,197.5,237,79
shortrunstickers_3a80017d8fceb2f7262b090c704cd084, 3x5, Full color 1 sided,null,null, Gloss Stickers, 2-3 Days,39.5,118.5,158,197.5,237,79
shortrunstickers_9501c1ae69bf30eaec90b248aa89cf92, 4x6, Full color 1 sided,null,null, Matte Stickers, 2-3 Days,39.5,118.5,158,197.5,237,79
shortrunstickers_f9b8ce8149345ff428715d48cd6691a7, 4x6, Full color 1 sided,null,null, Gloss Stickers, 2-3 Days,39.5,118.5,158,197.5,237,79
shortrunstickers_4b5da530c434621d0b55b9fea37f1421, 5x7, Full color 1 sided,null,null, Matte Stickers, 2-3 Days,39.5,118.5,158,197.5,237,79
shortrunstickers_fc2aec2875179ebeefd0fd4bc247064d, 5x7, Full color 1 sided,null,null, Gloss Stickers, 2-3 Days,39.5,118.5,158,197.5,237,79
shortrunstickers_0e36ebcfd6bb4a5e8f5c6a5670907502, 6x8, Full color 1 sided,null,null, Matte Stickers, 2-3 Days,39.5,118.5,158,197.5,237,79
shortrunstickers_5512978d19f2d46be1a8db1bddefcd91, 6x8, Full color 1 sided,null,null, Gloss Stickers, 2-3 Days,39.5,118.5,158,197.5,237,79
